ACTIV,CMPNO,PLTNO,ARRCD,CUSNO,INVNO,SEQNO,BATCH,ARTDT,AMONT,DISCT,MCHAM,REFNO,ARGL#,COMNT,POSTD,RTCOD,TCRCD,TEXRT,FAMON,FDIST,FMCAM,IAMON,IDIST,AUDDT,AUDTM,AUDUP,AUDUS,RATGA,RAVTA,RADRN,RAFGA,RAFTA,RADBB,RAFBB,RABBC
1,10,0,P,386501,104191,1,21214,6/9/2017,-42709.1,0,0,60917,1120404,          ,P,PY,US ,1,-42709.1,0,0,-42709.1,0,6/12/2017,93557,LAURA     ,LAURA     ,0,0,0,0,0,0,0,0001-01-01
1,10,0,P,386501,104237,1,21214,6/9/2017,-26045.25,0,0,60917,1120404,          ,P,PY,US ,1,-26045.25,0,0,-26045.25,0,6/12/2017,93557,LAURA     ,LAURA     ,0,0,0,0,0,0,0,0001-01-01
1,10,0,P,386501,104238,1,21214,6/9/2017,-14565.25,0,0,60917,1120404,          ,P,PY,US ,1,-14565.25,0,0,-14565.25,0,6/12/2017,93557,LAURA     ,LAURA     ,0,0,0,0,0,0,0,0001-01-01
1,10,0,P,386501,104241,1,21214,6/9/2017,-46818,0,0,60917,1120404,          ,P,PY,US ,1,-46818,0,0,-46818,0,6/12/2017,93557,LAURA     ,LAURA     ,0,0,0,0,0,0,0,0001-01-01
1,10,0,P,386501,104303,1,21214,6/9/2017,-25118,0,0,60917,1120404,          ,P,PY,US ,1,-25118,0,0,-25118,0,6/12/2017,93557,LAURA     ,LAURA     ,0,0,0,0,0,0,0,0001-01-01
1,10,0,P,386501,104345,1,21214,6/9/2017,-162729,0,0,60917,1120404,          ,P,PY,US ,1,-162729,0,0,-162729,0,6/12/2017,93557,LAURA     ,LAURA     ,0,0,0,0,0,0,0,0001-01-01
1,10,0,P,386501,104408,1,21214,6/9/2017,-17847,0,0,60917,1120404,          ,P,PY,US ,1,-17847,0,0,-17847,0,6/12/2017,93557,LAURA     ,LAURA     ,0,0,0,0,0,0,0,0001-01-01
1,10,0,P,386501,104446,1,21214,6/9/2017,-25515,0,0,60917,1120404,          ,P,PY,US ,1,-25515,0,0,-25515,0,6/12/2017,93557,LAURA     ,LAURA     ,0,0,0,0,0,0,0,0001-01-01
1,10,0,P,507000,104389,1,21214,6/9/2017,-4080,0,0,48101,1120404,          ,P,PY,US ,1,-4080,0,0,-4080,0,6/12/2017,93339,LAURA     ,LAURA     ,0,0,0,0,0,0,0,0001-01-01
1,10,0,P,507000,104390,1,21214,6/9/2017,-4920,0,0,48101,1120404,          ,P,PY,US ,1,-4920,0,0,-4920,0,6/12/2017,93339,LAURA     ,LAURA     ,0,0,0,0,0,0,0,0001-01-01
1,10,0,P,507000,104391,1,21214,6/9/2017,-10200,0,0,48101,1120404,          ,P,PY,US ,1,-10200,0,0,-10200,0,6/12/2017,93339,LAURA     ,LAURA     ,0,0,0,0,0,0,0,0001-01-01
1,10,0,P,156101,104464,1,21215,6/12/2017,-27723.59,0,0,60517,1120404,          ,P,PY,US ,1,-27723.59,0,0,-24801.52,0,6/12/2017,102440,LAURA     ,LAURA     ,0,0,0,0,0,0,0,0001-01-01
1,10,0,A,156101,104464,2,21215,6/12/2017,-1064.15,0,0,60517,9107925003,          ,P,  ,EUR,0.9148,-973.48,0,0,-973.48,0,6/12/2017,102440,LAURA     ,LAURA     ,0,0,0,0,0,0,0,0001-01-01
